Order_Id,Custumer_Id ,Sales_Date,Sales_Month,Product,Product_Category,Quantity_Sold ,Unit_Price ,Discount(%),Total_Revenue,Sales_Region ,Revenue_per _sales
1,1070,2025-03-13,Mar-25,Shoes,Clothing,3,$130.00,5%,$370.50,Abuja,$123.50
2,1667,2023-11-07,Nov-23,Shoes,Clothing,5,$216.74,0%,"$1,083.70",Lagos,$216.74
3,1687,2025-07-06,Jul-25,Phone,Electronics,5,$303.48,5%,"$1,796.90",Abuja,$359.38
4,1165,2025-05-29,May-25,Headphones,Accessories,4,$390.22,0%,"$2,510.10",Abuja,$627.53
5,1387,2025-04-13,Apr-25,Headphones,Accessories,3,$476.96,10%,"$3,223.30",Lagos,"$1,074.43"
6,1346,2025-02-23,Feb-25,Shoes,Clothing,1,$563.70,10%,"$3,936.50",Lagos,"$3,936.50"
7,1014,2025-03-24,Mar-25,Watch,Accessories,4,$650.44,0%,"$4,649.70",Lagos,"$1,162.43"
8,1729,2025-01-23,Jan-25,Watch,Accessories,5,$737.18,0%,"$5,362.90",Lagos,"$1,072.58"
9,1135,2025-09-04,Sep-25,Phone,Electronics,1,$823.92,0%,"$6,076.10",Kano,"$6,076.10"
10,1884,2025-01-13,Jan-25,Watch,Accessories,3,$910.66,10%,"$6,789.30",Abuja,"$2,263.10"
11,1311,2024-03-21,Mar-24,Watch,Accessories,5,$997.40,5%,"$7,502.50",Abuja,"$1,500.50"
12,1898,2025-05-21,May-25,Tv,Electronics,3,"$1,084.14",5%,"$8,215.70",Abuja,"$2,738.57"
13,1379,2024-06-12,Jun-24,Bag,Accessories,2,"$1,170.88",10%,"$8,928.90",Kano,"$4,464.45"
14,1169,2023-12-27,Dec-23,Watch,Accessories,2,"$1,257.62",10%,"$9,642.10",Abuja,"$4,821.05"
15,1467,2025-04-03,Apr-25,Tv,Electronics,4,"$1,344.36",5%,"$10,355.30",Abuja,"$2,588.83"
16,1513,2024-04-11,Apr-24,Watch,Accessories,5,"$1,431.10",5%,"$11,068.50",Abuja,"$2,213.70"
17,1337,2025-02-14,Feb-25,Tv,Electronics,1,"$1,517.84",5%,"$11,781.70",Abuja,"$11,781.70"
18,1923,2024-01-11,Jan-24,Laptop,Electronics,5,"$1,604.58",0%,"$12,494.90",Lagos,"$2,498.98"
19,1289,2023-11-04,Nov-23,Tv,Electronics,5,"$1,691.32",0%,"$13,208.10",Abuja,"$2,641.62"
20,1126,2024-01-02,Jan-24,Shoes,Clothing,3,"$1,778.06",0%,"$13,921.30",Abuja,"$4,640.43"
21,1748,2024-05-18,May-24,Tv,Electronics,3,"$1,864.80",5%,"$14,634.50",Lagos,"$4,878.17"
22,1035,2025-08-08,Aug-25,Shoes,Clothing,5,"$1,951.54",5%,"$15,347.70",Port Harcourt,"$3,069.54"
23,1648,2024-06-15,Jun-24,Laptop,Electronics,5,"$2,038.28",0%,"$16,060.90",Lagos,"$3,212.18"
24,1795,2024-08-21,Aug-24,Bag,Accessories,2,"$2,125.02",0%,"$16,774.10",Lagos,"$8,387.05"
25,1505,2024-10-12,Oct-24,Tv,Electronics,5,"$2,211.76",5%,"$17,487.30",Abuja,"$3,497.46"
26,1146,2024-07-18,Jul-24,Tv,Electronics,3,"$2,298.50",0%,"$18,200.50",Abuja,"$6,066.83"
27,1629,2025-02-10,Feb-25,Phone,Electronics,4,"$2,385.24",10%,"$18,913.70",Kano,"$4,728.43"
28,1964,2024-09-19,Sep-24,Tv,Electronics,2,"$2,471.98",10%,"$19,626.90",Lagos,"$9,813.45"
29,1191,2025-03-18,Mar-25,Phone,Electronics,1,"$2,558.72",0%,"$20,340.10",Abuja,"$20,340.10"
30,1705,2024-07-29,Jul-24,Shoes,Clothing,3,"$2,645.46",5%,"$21,053.30",Port Harcourt,"$7,017.77"
31,1599,2024-09-05,Sep-24,Tv,Electronics,5,"$2,732.20",0%,"$21,766.50",Abuja,"$4,353.30"
32,1956,2024-10-31,Oct-24,Tv,Electronics,2,"$2,818.94",0%,"$22,479.70",Port Harcourt,"$11,239.85"
